Player,Goals Against,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Advanced Goalkeeping,Free Kick Goals Against,Corner Kick Goals Against,Own Goals Scored Against Goalkeeper,Post-Shot Expected Goals,PSxG/SoT,PSxG-GA,Passes Completed (Launched),Passes Attempted (Launched),Pass Completion Percentage (Launched),Passes Attempted,Throws Attempted,Launch %,Average Pass Length,Goal Kicks,Launch% (Goal Kicks),Avg. Length of Goal Kicks,Crosses Faced,Crosses Stopped,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions,Position,Age,Country,Club,url,Minutes,DetailedPosition
Sven Ulreich,0.63,2.63,1.88,76.2%,1.0,0.0,0.0,0.63,62.5%,0.13,0.0,0.13,0.0,100.0%,Advanced Goalkeeping,0.0,0.13,0.0,0.83,0.27,0.2,2.63,7.88,33.3%,33.75,5.38,21.9%,27.0,6.13,8.2%,20.4,11.63,0.63,5.4%,1.38,18.2,GK,35-025,GER,Bayern Munich,https://fbref.com/en/players/7d3e7da6/Sven-Ulreich,720,Goalkeeper
Frederik Rønnow,0.96,3.84,2.82,77.9%,0.55,0.22,0.25,0.38,38.9%,0.16,0.11,0.05,0.0,33.3%,Advanced Goalkeeping,0.0,0.11,0.0,1.23,0.28,0.27,7.42,19.89,37.3%,36.25,3.64,44.1%,36.2,5.67,68.6%,50.4,13.67,1.48,10.8%,1.21,14.7,GK,31-024,DEN,Union Berlin,https://fbref.com/en/players/a70b8345/Frederik-Ronnow,3285,Goalkeeper
Alexander Schwolow,2.53,5.75,3.22,59.8%,0.21,0.11,0.64,0.05,5.6%,0.21,0.21,0.0,0.0,0.0%,Advanced Goalkeeping,0.05,0.16,0.0,2.08,0.33,-0.45,8.11,19.45,41.7%,31.49,3.65,44.4%,37.6,7.84,69.9%,53.5,13.0,0.21,1.7%,1.02,15.1,GK,31-087,GER,Union Berlin,https://fbref.com/en/players/0d55d942/Alexander-Schwolow,1675,Goalkeeper
Andriy Lunin,0.91,2.91,2.09,68.8%,0.64,0.18,0.18,0.36,36.4%,0.0,0.0,0.0,0.0,,Advanced Goalkeeping,0.0,0.09,0.09,0.79,0.27,-0.03,1.64,3.18,51.4%,25.18,5.55,7.2%,22.1,5.45,25.0%,31.6,10.09,0.45,4.5%,1.45,19.0,GK,24-198,UKR,Real Madrid,https://fbref.com/en/players/3061e1ec/Andriy-Lunin,990,Goalkeeper
Kepa Arrizabalaga,1.06,4.13,3.14,74.8%,0.34,0.26,0.42,0.34,34.2%,0.03,0.03,0.0,0.0,0.0%,Advanced Goalkeeping,0.03,0.13,0.08,1.17,0.29,0.18,2.52,7.95,31.7%,29.04,5.35,19.1%,27.2,6.03,40.1%,34.2,11.38,0.55,4.8%,1.61,17.0,GK,28-329,ESP,Real Madrid,https://fbref.com/en/players/28d596a0/Kepa-Arrizabalaga,3465,Goalkeeper
Ederson,0.71,2.27,1.56,72.5%,0.73,0.16,0.11,0.4,40.0%,0.09,0.09,0.0,0.0,0.0%,Advanced Goalkeeping,0.0,0.11,0.0,0.67,0.26,-0.04,3.96,8.67,45.6%,31.89,3.98,21.9%,28.8,4.51,37.4%,35.8,7.87,0.47,5.9%,0.93,16.2,GK,30-011,BRA,Manchester City,https://fbref.com/en/players/3bb7b8b4/Ederson,4050,Goalkeeper
Stefan Ortega,0.4,4.2,3.8,90.5%,0.6,0.4,0.0,0.6,60.0%,0.0,0.0,0.0,0.0,,Advanced Goalkeeping,0.0,0.2,0.0,1.04,0.25,0.64,2.8,5.8,48.3%,39.4,4.4,13.7%,23.3,4.4,9.1%,23.3,6.2,0.4,6.5%,2.4,21.8,GK,30-295,GER,Manchester City,https://fbref.com/en/players/c1242d4e/Stefan-Ortega,450,Goalkeeper
Mike Maignan,0.89,3.18,2.22,74.2%,0.46,0.32,0.21,0.36,37.0%,0.14,0.07,0.07,0.0,50.0%,Advanced Goalkeeping,0.04,0.11,0.0,0.99,0.27,0.1,4.29,10.01,42.9%,33.99,5.47,23.6%,29.9,4.83,41.5%,38.6,11.72,1.0,8.5%,1.39,16.4,GK,28-056,FRA,Milan,https://fbref.com/en/players/fcb38f57/Mike-Maignan,2518,Goalkeeper
Antonio Mirante,1.48,4.37,2.81,67.9%,0.47,0.23,0.31,0.39,41.7%,0.23,0.16,0.08,0.0,33.3%,Advanced Goalkeeping,0.08,0.0,0.0,1.23,0.24,-0.2,3.59,8.27,43.4%,24.12,4.92,25.2%,30.9,6.48,27.7%,28.6,12.65,0.08,0.6%,1.8,18.3,GK,40-051,ITA,Milan,https://fbref.com/en/players/30223b33/Antonio-Mirante,1153,Goalkeeper
Marco Sportiello,1.41,4.3,2.89,68.8%,0.4,0.2,0.34,0.13,15.4%,0.07,0.07,0.0,0.0,0.0%,Advanced Goalkeeping,0.07,0.13,0.0,1.32,0.29,-0.08,3.49,9.94,35.1%,23.24,5.71,20.5%,28.8,7.79,66.4%,49.7,13.43,1.21,9.0%,1.21,15.0,GK,31-110,ITA,Milan,https://fbref.com/en/players/ac4003af/Marco-Sportiello,1339,Goalkeeper
