Player,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG,Non-Penalty xG,xAG,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shooting,Shots Total,Shots on target,Shots on target %,Goals/Shot,Goals/Shot on target,Average Shot Distance,Shots from free kicks,npxG/Sh,Goals - xG,Non-Penalty Goals - npxG,Passing,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Pass Types,Live-ball passes,Dead-ball passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-Ins taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Offside,Passes Blocked,Goal and Shot Creation,Shot-Creating Actions,SCA (PassLive),SCA (PassDead),SCA (TO),SCA (Sh),SCA (Fld),SCA (Def),Goal-Creating Actions,GCA (PassLive),GCA (PassDead),GCA (TO),GCA (Sh),GCA (Fld),GCA (Def),Defense,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of dribblers tackled,Challenges Lost,Blocks,Shots Blocked,Rival Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Possession,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted,Successful Take-Ons,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Miscellaneous Stats,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials won,Aerials lost,% of Aerials Won,Position,Age,Country,Club,url,Minutes,DetailedPosition
Alphonso Davies,0.04,0.32,0.35,0.04,0.0,0.0,0.04,0.0,0.07,0.07,0.19,0.26,5.07,5.29,7.29,Shooting,0.78,0.28,36.4%,0.05,0.13,17.9,0.0,0.1,-0.04,-0.04,Passing,58.92,67.45,87.4%,929.0,249.17,31.47,34.29,91.8%,23.4,25.72,91.0%,3.0,4.69,63.9%,0.19,2.08,4.23,1.73,0.25,Pass Types,58.78,8.35,1.3,0.11,0.39,1.13,7.05,0.0,0.0,0.0,0.0,0.32,1.02,Goal and Shot Creation,3.88,3.35,0.0,0.42,0.04,0.04,0.04,0.46,0.42,0.0,0.04,0.0,0.0,0.0,Defense,2.33,1.27,1.37,0.67,0.28,0.88,1.94,45.5%,1.06,1.44,0.32,1.13,1.13,3.45,1.16,0.14,Possession,81.08,2.78,21.71,37.64,23.89,3.95,81.08,6.17,3.28,53.1%,2.33,37.7%,52.58,334.42,190.5,3.03,1.76,2.57,1.37,53.0,Miscellaneous Stats,0.0,0.53,1.06,0.14,0.0,0.0,0.0,8.7,0.32,0.32,50.0%,DF,22-299,CAN,Bayern Munich,https://fbref.com/en/players/d781d855/Alphonso-Davies,2554,Left-Back
Joshua Kimmich,0.13,0.18,0.31,0.08,0.05,0.05,0.21,0.03,0.09,0.05,0.22,0.27,1.28,9.6,1.52,Shooting,1.15,0.37,31.8%,0.07,0.21,27.7,0.18,0.04,0.04,0.03,Passing,74.66,87.54,85.3%,1407.65,430.74,29.52,31.46,93.8%,34.2,37.63,90.9%,9.66,15.62,61.8%,0.25,2.41,8.9,1.78,0.08,Pass Types,76.97,10.26,3.79,0.79,0.31,6.88,0.86,5.6,2.46,2.72,0.05,0.31,0.71,Goal and Shot Creation,4.03,2.36,1.49,0.03,0.08,0.03,0.05,0.42,0.31,0.08,0.0,0.03,0.0,0.0,Defense,2.25,1.41,0.79,1.31,0.16,1.15,2.41,47.8%,1.26,1.39,0.34,1.05,1.41,3.66,1.1,0.05,Possession,97.54,3.72,20.23,53.88,24.08,0.58,97.48,0.94,0.42,44.4%,0.34,36.1%,58.49,298.37,114.86,1.07,0.1,0.71,0.73,66.55,Miscellaneous Stats,0.03,0.76,1.67,0.0,0.0,0.0,0.0,7.88,0.42,0.81,34.0%,MF,28-201,GER,Bayern Munich,https://fbref.com/en/players/49296448/Joshua-Kimmich,3439,Defensive Midfield
Dayot Upamecano,0.0,0.03,0.03,0.0,0.0,0.0,0.25,0.03,0.03,0.03,0.01,0.04,1.16,5.94,0.19,Shooting,0.25,0.03,12.5%,0.0,0.0,9.1,0.0,0.11,-0.03,-0.03,Passing,79.6,87.44,91.0%,1638.15,581.39,21.9,23.43,93.5%,47.36,49.95,94.8%,10.03,13.0,77.2%,0.03,0.22,7.5,0.13,0.0,Pass Types,85.06,2.31,1.78,0.0,0.47,0.06,0.34,0.0,0.0,0.0,0.0,0.06,0.37,Goal and Shot Creation,0.81,0.78,0.0,0.0,0.03,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,Defense,2.16,1.25,1.5,0.66,0.0,1.03,1.59,64.7%,0.56,0.97,0.25,0.72,1.16,3.31,2.69,0.16,Possession,96.4,8.87,44.86,49.11,2.94,0.56,96.4,0.59,0.44,73.7%,0.13,21.1%,70.38,364.25,201.99,0.94,0.06,0.66,0.28,72.63,Miscellaneous Stats,0.0,1.16,0.44,0.03,0.0,0.06,0.0,7.72,1.81,1.41,56.3%,DF,24-305,FRA,Bayern Munich,https://fbref.com/en/players/d248cd8f/Dayot-Upamecano,2881,Centre-Back
Harry Kane,0.69,0.14,0.82,0.53,0.16,0.18,0.11,0.0,0.56,0.42,0.18,0.59,1.58,4.57,5.92,Shooting,3.2,1.23,38.6%,0.16,0.43,15.7,0.11,0.13,0.13,0.11,Passing,17.19,25.25,68.1%,320.19,107.6,7.68,10.17,75.5%,6.22,8.11,76.6%,2.65,4.25,62.4%,0.1,1.3,2.7,1.1,0.09,Pass Types,23.54,1.46,0.39,0.64,0.43,0.96,0.64,0.0,0.0,0.0,0.0,0.25,1.1,Goal and Shot Creation,3.25,2.15,0.05,0.3,0.3,0.39,0.07,0.55,0.3,0.0,0.07,0.07,0.11,0.0,Defense,0.34,0.25,0.02,0.14,0.18,0.16,0.48,33.3%,0.32,0.53,0.14,0.39,0.11,0.46,0.57,0.0,Possession,35.88,0.8,2.67,17.16,16.71,4.46,35.7,2.93,1.1,37.5%,1.42,48.4%,22.47,123.46,49.11,1.28,0.57,1.87,1.46,27.86,Miscellaneous Stats,0.0,0.78,1.55,0.39,0.07,0.0,0.0,2.54,1.85,1.85,50.0%,FW,30-031,ENG,Bayern Munich,https://fbref.com/en/players/21a66f6a/Harry-Kane,3938,Centre-Forward
Leon Goretzka,0.18,0.22,0.4,0.18,0.0,0.0,0.22,0.0,0.25,0.25,0.15,0.4,2.05,6.04,3.27,Shooting,2.23,0.79,35.5%,0.08,0.23,18.5,0.0,0.11,-0.07,-0.07,Passing,43.88,52.48,83.6%,663.09,198.13,23.42,26.12,89.7%,16.4,19.39,84.6%,2.37,3.71,64.1%,0.13,1.12,4.75,0.86,0.0,Pass Types,51.22,1.08,0.79,0.18,0.11,0.58,0.22,0.0,0.0,0.0,0.0,0.18,0.61,Goal and Shot Creation,2.7,2.05,0.04,0.04,0.43,0.07,0.07,0.47,0.29,0.0,0.04,0.14,0.0,0.0,Defense,2.27,1.3,1.04,0.86,0.36,1.3,2.48,52.2%,1.19,1.91,0.22,1.69,1.51,3.78,1.55,0.04,Possession,65.47,2.91,15.5,34.39,16.37,2.12,65.47,0.79,0.4,50.0%,0.32,40.9%,34.89,169.93,95.79,1.69,0.22,0.97,0.65,43.02,Miscellaneous Stats,0.0,1.26,0.72,0.11,0.0,0.0,0.0,7.23,2.01,1.22,62.2%,MF,28-203,GER,Bayern Munich,https://fbref.com/en/players/cc86b9a3/Leon-Goretzka,2502,Central Midfield
Kingsley Coman,0.37,0.19,0.56,0.37,0.0,0.0,0.09,0.05,0.23,0.23,0.33,0.57,6.55,4.63,17.16,Shooting,2.76,0.98,35.6%,0.14,0.38,18.2,0.0,0.08,0.14,0.14,Passing,40.07,50.77,78.9%,632.06,127.64,22.49,25.2,89.2%,13.84,17.25,80.2%,2.81,4.96,56.6%,0.41,2.71,1.73,2.57,1.03,Pass Types,49.75,0.94,0.05,0.23,0.51,4.72,0.79,0.05,0.0,0.0,0.0,0.09,1.4,Goal and Shot Creation,5.24,4.44,0.0,0.51,0.19,0.09,0.0,0.51,0.37,0.0,0.05,0.05,0.05,0.0,Defense,0.84,0.56,0.19,0.42,0.23,0.56,1.36,41.4%,0.79,1.45,0.05,1.4,0.19,1.03,0.37,0.0,Possession,63.4,0.51,5.47,21.6,37.4,6.31,63.4,5.56,2.85,51.3%,1.96,35.3%,46.15,317.5,175.89,3.23,2.66,2.71,1.68,50.59,Miscellaneous Stats,0.05,0.42,1.54,0.19,0.0,0.0,0.0,4.72,0.79,0.75,51.5%,FW,27-076,FRA,Bayern Munich,https://fbref.com/en/players/042e8a49/Kingsley-Coman,1925,Right Winger
Noussair Mazraoui,0.06,0.23,0.28,0.06,0.0,0.0,0.11,0.0,0.1,0.1,0.12,0.21,3.67,7.17,6.61,Shooting,0.79,0.23,28.6%,0.07,0.25,17.9,0.0,0.13,-0.05,-0.05,Passing,61.32,72.21,84.9%,880.41,325.39,36.64,39.75,92.2%,21.29,24.56,86.7%,2.09,3.67,56.9%,0.13,1.24,5.36,1.52,0.23,Pass Types,62.5,9.49,0.9,0.11,0.11,1.92,8.58,0.0,0.0,0.0,0.0,0.23,1.47,Goal and Shot Creation,2.88,2.43,0.0,0.17,0.17,0.06,0.06,0.45,0.34,0.0,0.0,0.06,0.0,0.06,Defense,2.37,1.64,0.9,0.85,0.62,1.3,2.09,62.2%,0.79,1.02,0.17,0.85,0.73,3.11,2.15,0.0,Possession,81.87,2.65,21.34,37.83,23.26,2.54,81.87,2.31,1.52,65.9%,0.56,24.4%,47.26,231.21,129.3,2.2,0.79,0.79,0.62,55.33,Miscellaneous Stats,0.0,1.41,0.85,0.11,0.0,0.06,0.0,4.86,1.69,1.69,50.0%,DF,25-287,MAR,Bayern Munich,https://fbref.com/en/players/b74277a0/Noussair-Mazraoui,1594,Right-Back
Leroy Sané,0.44,0.25,0.69,0.44,0.0,0.0,0.11,0.0,0.4,0.4,0.2,0.6,3.85,5.74,8.87,Shooting,3.05,1.2,39.3%,0.14,0.36,19.5,0.22,0.13,0.04,0.04,Passing,38.3,47.31,81.0%,539.06,134.69,23.18,26.81,86.4%,11.52,13.7,84.1%,1.96,3.2,61.4%,0.22,1.71,2.54,2.0,0.04,Pass Types,46.07,1.02,0.0,0.47,0.11,1.02,0.29,0.47,0.44,0.04,0.0,0.22,0.98,Goal and Shot Creation,4.0,3.2,0.11,0.33,0.15,0.15,0.07,0.65,0.51,0.0,0.07,0.07,0.0,0.0,Defense,1.6,1.24,0.4,0.8,0.4,0.8,1.56,51.2%,0.76,0.55,0.04,0.51,0.33,1.93,0.04,0.07,Possession,59.95,0.44,4.69,26.6,29.94,4.21,59.95,5.45,2.91,53.3%,2.29,42.0%,41.75,273.89,126.7,3.16,1.45,2.43,2.47,48.98,Miscellaneous Stats,0.0,0.69,0.87,0.25,0.0,0.0,0.0,5.41,0.25,0.51,33.3%,FW,27-229,GER,Bayern Munich,https://fbref.com/en/players/2b114be3/Leroy-Sane,2477,Left Winger
Kim Min-jae,0.02,0.05,0.07,0.02,0.0,0.0,0.19,0.0,0.02,0.02,0.05,0.07,1.16,4.87,0.12,Shooting,0.17,0.07,42.9%,0.14,0.33,7.6,0.0,0.11,0.0,0.0,Passing,74.41,82.27,90.5%,1339.33,513.98,29.73,31.64,93.9%,37.51,40.22,93.2%,5.84,8.17,71.5%,0.03,0.27,5.58,0.22,0.05,Pass Types,80.64,1.55,1.38,0.1,0.8,0.15,0.1,0.0,0.0,0.0,0.0,0.07,0.34,Goal and Shot Creation,1.02,0.95,0.0,0.0,0.02,0.0,0.05,0.07,0.05,0.0,0.0,0.02,0.0,0.0,Defense,1.48,0.87,0.95,0.48,0.05,0.7,0.8,87.9%,0.1,1.09,0.85,0.24,1.38,2.86,3.47,0.02,Possession,91.6,8.97,39.67,49.63,2.62,0.63,91.6,0.22,0.15,66.7%,0.07,33.3%,57.29,251.38,144.36,0.56,0.07,0.34,0.22,68.69,Miscellaneous Stats,0.0,0.99,0.17,0.0,0.0,0.0,0.0,5.84,2.72,1.62,62.6%,DF,26-286,KOR,Bayern Munich,https://fbref.com/en/players/e0f8151c/Kim-Min-jae,3712,Centre-Back
Jamal Musiala,0.31,0.38,0.69,0.31,0.0,0.0,0.03,0.0,0.26,0.26,0.28,0.54,3.69,5.51,7.16,Shooting,2.34,0.79,33.8%,0.13,0.39,15.9,0.0,0.11,0.05,0.05,Passing,34.37,40.4,85.1%,501.66,112.25,19.56,21.84,89.6%,12.19,13.3,91.7%,1.41,2.14,66.1%,0.24,2.1,2.58,1.69,0.1,Pass Types,39.51,0.65,0.0,0.14,0.1,0.38,0.34,0.03,0.03,0.0,0.0,0.24,1.24,Goal and Shot Creation,4.79,3.51,0.0,0.72,0.31,0.17,0.07,0.86,0.62,0.0,0.07,0.07,0.03,0.07,Defense,1.17,0.9,0.31,0.55,0.31,0.38,1.34,28.2%,0.96,1.27,0.1,1.17,0.86,2.03,0.14,0.0,Possession,55.83,0.65,5.92,26.11,24.97,5.51,55.83,6.75,3.44,51.0%,2.76,40.8%,40.47,250.13,118.04,2.82,1.34,3.03,2.96,42.85,Miscellaneous Stats,0.0,1.0,1.72,0.03,0.03,0.0,0.0,6.06,0.45,0.48,48.1%,MF,20-183,GER,Bayern Munich,https://fbref.com/en/players/2c0558b8/Jamal-Musiala,2613,Attacking Midfield
